id,timestamp,tweet,likes_count,label
1355658058777694211,2021-01-31 00:24:02,Vaccini: il successo della Brexit premetterà agli inglesi di essere generosi con noi poveri europei. Approvato nuovo vaccino che sarà prodotto nel Regno Unito  ,0,1
1355653772702265346,2021-01-31 00:07:00,Aifa autorizza il vaccino AstraZeneca ma ne raccomanda l'uso sotto i 55 anni. Per i più anziani e le persone fragili meglio vaccini Rna  ,0,1
1355653463796015106,2021-01-31 00:05:47,"vaccini Mentre l'EU cerca (tra l'altro senza successo) di affamarli con l'embargo, loro ci mandano il vaccino SputnikV",0,0
1355651047738515462,2021-01-30 23:56:11,"Si andrebbe presumibilmente ben oltre l'anno. Anno durante il quale arriveranno numerosi altri vaccini (che sono già in fase 3) oltre a agli attuali. In tutto questo bisogna sperare che il nuovo vaccino sia efficace, anzi molto efficace (altrimenti il test fallisce).  27/n",13,2
1355650532501839872,2021-01-30 23:54:08,"Oggi 30 gennaio , ho ricevuto la seconda dose del vaccino anti covid, fatelo tutti, è un gesto di civiltà, verso di voi e verso il prossimo. Se siamo vivi è anche grazie ai vaccini.",1,1
1355648642749755395,2021-01-30 23:46:37,"In realtà, soprattutto nel caso di confronto con vaccini molto efficaci, si può settare una soglia minima accettabile (esempio decidiamo che il nuovo vaccino va bene anche se ha efficacia superiore a 90%).  9/n",10,2
1355648637649477632,2021-01-30 23:46:36,"Quale sarebbe il vantaggio del nuovo vaccino tale da giustificare questo rischio? Gravi effetti collaterali nei vaccini autorizzati o efficacia troppo bassa, ad esempio. Ma nel nostro caso abbiamo 2 vaccini sicuri ed estremamente efficaci. Il rischio non sembra accettabile.  6/n",19,0
1355646930437738497,2021-01-30 23:39:49,"firewall76 nicolatosti1 ScaltritiLab rominafuochi diabolicus23 gabbb_ser f_ronchetti BiologiScienza bad_scientists AurelianoStingi ""Sono infermiera da 40 anni e sai quanti ne ho visti di danni da vaccino?"" oppure ""chissà chi è questo profilo che prova a venderci i vaccini"", il tutto sotto un video dove c'è la mia faccia, il mio nome e professione. Per dirne due a caso.",3,0
1355637712569724931,2021-01-30 23:03:11,vaccino vaccini vaccinoCovid mammamia bambini scuola zaia CePostaPerTe I VACCINI FANNO MALE DOTT. MONTANARI  ,1,0
1355631383155191809,2021-01-30 22:38:02,antonellaviol17 Dipende. Cosa succederà se avremo una variante che il vaccino di Pfizer non copre? Non sarebbe invece meglio avere molti vaccini diversi a disposizione?,2,1
