date,time,tweet,likes_count,language
2021-05-14,09:57:21,"Annuncio rionfale di #biden  ""In Usa, via la #mascherina e ritorno alla vita normale per #vaccinati "".   Quindi, in #cina e #Usa il #covid sparisce, dopo più di anno, in cui ci hanno fatto vivere nel terrore. È plausibile ? @a_meluzzi   https://t.co/lIOvfeAHcn Mentre da noi 👇  https://t.co/uyfkFbDsKD",0,it
2021-05-14,09:57:16,Ma prima della fine della campagna vaccini saremo tutti irregimentati in qualche battaglione dell'esercito? Chiedo a Draghi. #Figliuolo,0,it
2021-05-14,09:57:09,@carla19896444 @Elewhatelse Casomai è il contrario. Noi vogliamo le cure precoci. Voi se vi ammalate con o senza vaccino dovete praticare la vigile attesa perché il vostro ministro ha dichiarato che non esistono altri proticolli.  Per quanto riguarda pagarsi le cure parliamo di qualche decina di €poco male,0,it
2021-05-14,09:57:08,"@Colombo9luglio La mia sensazione è che hanno reazioni piú forti quelli che non hanno mai incontrato il virus prima di fare il vaccino. Peró un amico ha fatto astrazeneca dopo aver fatto il covid. Con il covid era asintomatico.Con il vaccino ha avuto febbre e stanchezza. Quindi, boh...",0,it
2021-05-14,09:57:07,"Vacanze in Grecia, riaprono isole e spiagge: vaccini e tamponi, cosa serve per andarci  https://t.co/HAGeN0L7LV",0,it
2021-05-14,09:57:03,"Vaccino Pfizer, la seconda dose a 42 giorni è sicura?  https://t.co/sLT2d7Fkmb",0,it
2021-05-14,09:56:54," https://t.co/rHr15g27gK  I nuovi casi di trombosi con il vaccino AstraZeneca in Australia (sette in totale, anche uomini)",0,it
2021-05-14,09:56:45,#Aggiornamento vaccini @regionepiemonte #14maggio  1.941.591 persone vaccinate in Piemonte #VacciniCovid #CoronavirusVaccine #vaccinazioni #BREAKING #news #CoronaVirusUpdates  ➡️ https://t.co/EXS327xrqg  https://t.co/4X4HCxAUaV,0,it
2021-05-14,09:56:41,"Vaccino AstraZeneca Lazio, Open Day 15 e 16 maggio 2021 per Over 40: ‘Tutto esaurito’  https://t.co/QQmSEubSo0",0,it
2021-05-14,09:56:35,"@ImolaOggi Un gruppo di ricercatori dell'Univ. di Oxford dice che il vaccino prodotto da Astrazeneca-Univ. di Oxford è ottimo.  - Oste, com'è er vino? - E' bbono!",0,it
2021-05-14,09:56:25,E' un operazione di copertura.  Il medico aveva mangiato troppo aglio e questo ha fatto impazzire i prioni del vaccino.,0,it
2021-05-14,09:56:13,@Cippalik E poi... perché un generale interviene su cose strattamente medico farmaceutiche? Si occupi della logistica piuttosto....mercoledì mi sono vaccinato e capisco che vogliano raggiungere i 500 mila vaccinati al giorno... ma bisogna aumentarne i medici... ho fatto due ore di fila!!,0,it
2021-05-14,09:55:45,Prenotazione vaccino fatta per giugno.Tutto veloce e semplice  #regionetoscana #VaccinoAntiCovid,0,it
2021-05-14,09:55:40,@ingrid25136239 Spero che sia il miglior vaccino e non uno nuovo che non sia stato testato  https://t.co/NvNaq4V78F,0,it
2021-05-14,09:55:39,@BarillariDav Sei imbarazzante. Di fronte alla straordinaria efficacia dei vaccini continui a sparare corbellerie insensate. Sei l'equivalente moderno di quei politici che all'inizio dell'era dell'auto pretendevano che ci fosse a piedi uno con una campanella che avvertiva dell'arrivo.,0,it
2021-05-14,09:55:36,"Tra i vaccinati in #Italia i contagi scendono del 95% e i casi gravi del 99%.  Sono i #vaccini, la scienza e la responsibilita' a salvarci dal #Covid, non il #coprifuoco. #iomivaccino per la salute e la liberta'.  https://t.co/AvonrELCOR",0,it
2021-05-14,09:55:33,@Pinzie @incorreggibile Con troppe dosi il vaccino non funziona 😰😰  https://t.co/9dnPPQZLAs,0,it
2021-05-14,09:55:27,@Pietro_Otto @borghi_claudio Quindi Pietro quando FDA darà l’approvazione a Pfizer tu ti vaccinerai?,0,it
2021-05-14,09:55:16,Non vedo l'ora di farmi il vaccino per attaccarmi le calamite tipo frigo. Ho la gondola di Venezia già pronta,0,it
2021-05-14,09:55:15,Quando un negazionista ti fa la spiega che la mascherina e il vaccino sono un complotto  https://t.co/V13tbMzkzS,1,it
2021-05-14,09:55:08,"@StefanoSamma7 @gabbb_ser @GiovaQuez Beh, nella fascia 70-79 ha la più alta percentuale di vaccinati.",0,it
2021-05-14,09:54:59,"@puresoulfree Dona la tua dose di vaccino per salvare un politico,nuova iniziativa!!!😂",0,it
2021-05-14,09:54:52,Basta tamponi e mascherine per i vaccinati. I vaccini funzionano e bisogna spingere la gente a farli mettendone in luce i benefici come Biden negli #USA,0,it
2021-05-14,09:54:50,"@zennaronews Fatto ieri vaccino a Milano, l'infermiera che me lo ha iniettato, ha detto che lavora in un reparto oncologico di un ospedale milanese. Se fa i vaccini, non può curare i malati.",0,it
2021-05-14,09:54:49,Dopo il vaccino oggi mi sento così #WonderWoman #vaccino  https://t.co/BWhOBbyUoq,1,it
2021-05-14,09:54:43,"@Colombo9luglio Ho fatto il vaccino. Non è stato nulla di che. Il dolore al braccio è dovuto alla mano poco allenata dell'.infermiera che diventerà brava con il tempo. Era Pfizer. 2 persone che hanno fatto il vaccino con me, ma più giovani hanno avuto un po' di febbre e un po' di stanchezza.",0,it
2021-05-14,09:54:41,"Covid, Kyriakides “A luglio vaccinato il 70% degli adulti europei”  https://t.co/2jObkejH9j",0,it
2021-05-14,09:54:34,"Covid, a Modena esaurito il vaccino AstraZeneca. Il dg dell'Ausl: ""Pfizer o Moderna per tutti""  https://t.co/3gKnR3i1kW",0,it
2021-05-14,09:54:30,@GiuliaBorile1 @Ruffino_Lorenzo Ieri la Viola a Piazza Pulita ha detto che rinunciare alla seconda dose di AstraZeneca non sarebbe poi così pericoloso. Ognuno dice la sua...,0,it
2021-05-14,09:54:29,"Covid: Usa, via mascherina e distanziamento per i vaccinati - Nord America - ANSA  https://t.co/r3UbdiiSSJ",0,it
2021-05-14,09:54:12,"ieri prenotazione vaccino e oggi biglietto di louis, tutte queste attese non sono adattive per la mia ansia",0,it
2021-05-14,09:54:11,"@zarlino Non lo so . Dipende . Il vaccino serve per abbattere il rischio di finire in ospedale . E funziona , lo capisce pure un bambino .",0,it
2021-05-14,09:53:57,"🔘 Commissaria UE Kyriakides/Vaccinazione:""Bene Ecdc-Ema sul monitoraggio vaccini"" 🔍🆗 👉 #politichecomunitarie #Ema #Ecdc #coronavirus #vaccini #vaccinazione #controlli #14Maggio #EuropeDirect #europedirectitalia 🇪🇺 @europainitalia   https://t.co/ZbAPaUTLbX  https://t.co/80w3xm667K",0,it
2021-05-14,09:53:57,Ora tutti vogliono AstraZeneca.  https://t.co/8HeJ82oovu,0,it
2021-05-14,09:53:33,"Siamo l'unica Nazione in cui i politici impongono ai medici di farsi un ""vaccino"" sperimentale, non tenendo conto dei gravi effetti collaterali che sta avendo. Pioveranno ricorsi e denunce e mi sembra il minimo perché si dovrebbe andare a prenderli a calci.  #NoObbligoVaccinale  https://t.co/gXBgrIzs4F",1,it
2021-05-14,09:53:05,"@avvbenedetto @AlleviLaura Tutte le libertà avrebbero dovuto essere conservata da sempre, nessun luogo avrebbe dovuto esser chiuso ex lege, chi va e frequenta si assume i suoi (bassissimi) rischi. Se anziano non vaccinato starà a casa.  Ma di che parliamo?",1,it
