id,timestamp,tweet,likes_count,label
1355658058777694211,2021-01-31 00:24:02,vaccini: il successo della brexit premetterã  agli inglesi di essere generosi con noi poveri europei. approvato nuovo vaccino che sarã  prodotto nel regno unito  ,0,1
1355653772702265346,2021-01-31 00:07:00,aifa autorizza il vaccino astrazeneca ma ne raccomanda l'uso sotto i 55 anni. per i piã¹ anziani e le persone fragili meglio vaccini rna  ,0,1
1355653463796015106,2021-01-31 00:05:47,"vaccini mentre l'eu cerca (tra l'altro senza successo) di affamarli con l'embargo, loro ci mandano il vaccino sputnikv",0,0
1355651047738515462,2021-01-30 23:56:11,"si andrebbe presumibilmente ben oltre l'anno. anno durante il quale arriveranno numerosi altri vaccini (che sono giã  in fase 3) oltre a agli attuali. in tutto questo bisogna sperare che il nuovo vaccino sia efficace, anzi molto efficace (altrimenti il test fallisce).  27/n",13,2
1355650532501839872,2021-01-30 23:54:08,"oggi 30 gennaio , ho ricevuto la seconda dose del vaccino anti covid, fatelo tutti, ã¨ un gesto di civiltã , verso di voi e verso il prossimo. se siamo vivi ã¨ anche grazie ai vaccini.",1,1
1355648642749755395,2021-01-30 23:46:37,"in realtã , soprattutto nel caso di confronto con vaccini molto efficaci, si puã² settare una soglia minima accettabile (esempio decidiamo che il nuovo vaccino va bene anche se ha efficacia superiore a 90%).  9/n",10,2
1355648637649477632,2021-01-30 23:46:36,"quale sarebbe il vantaggio del nuovo vaccino tale da giustificare questo rischio? gravi effetti collaterali nei vaccini autorizzati o efficacia troppo bassa, ad esempio. ma nel nostro caso abbiamo 2 vaccini sicuri ed estremamente efficaci. il rischio non sembra accettabile.  6/n",19,0
1355646930437738497,2021-01-30 23:39:49,"firewall76 nicolatosti1 scaltritilab rominafuochi diabolicus23 gabbb_ser f_ronchetti biologiscienza bad_scientists aurelianostingi ""sono infermiera da 40 anni e sai quanti ne ho visti di danni da vaccino?"" oppure ""chissã  chi ã¨ questo profilo che prova a venderci i vaccini"", il tutto sotto un video dove c'ã¨ la mia faccia, il mio nome e professione. per dirne due a caso.",3,0
1355637712569724931,2021-01-30 23:03:11,vaccino vaccini vaccinocovid mammamia bambini scuola zaia cepostaperte i vaccini fanno male dott. montanari  ,1,0
1355631383155191809,2021-01-30 22:38:02,antonellaviol17 dipende. cosa succederã  se avremo una variante che il vaccino di pfizer non copre? non sarebbe invece meglio avere molti vaccini diversi a disposizione?,2,2
1355628406671634432,2021-01-30 22:26:13,myrtamerlino gimbe cartabellotta hanno vaccinato persone che non erano in lista d'attesa  come al solito anche nei vaccini serve  la raccomandazione . con il vaccino di astra  zeneca  vaccineranno le persone dai 18 a 55 anni io sono piã¹  anziano e aspetterã² il vaccino  adatto.,1,1
